Query,Risk,risk assessment #,Response
I keep going back to one specific scenario in my head.,unknown,1.0,What you wrote — “I keep going back to one specific scenario in my head.” — suggests you’re dealing with more than people might see from the outside. I’m glad you reached out to talk about this rather than sitting with it alone. What have your days been looking like recently when things feel this way?
I've been thinking about 'what if I just disappear'.,unknown,2.0,"Hearing you talk about “I've been thinking about 'what if I just disappear'.” makes it clear that you’ve been under a lot of emotional pressure. How intense would you say your distress is right now, using a 0–10 scale where 10 is the worst you can imagine? Have you seen any connection between your stress and things like sleep, social interactions, or what’s happening around you?"
I've been watching videos about people talking about suicide.,unknown,3.0,Being in the kind of distress you mentioned with “I've been watching videos about people talking about suicide.” can sometimes lead to thoughts of ending one’s life. It makes sense that this would feel like a lot to carry on your own. Are there moments when you find yourself thinking that you’d be better off dead or that you want to end your life?
I don't want to wake up tomorrow feeling like this.,unknown,1.0,The way you talk about “I don't want to wake up tomorrow feeling like this.” makes it sound like things have been piling up for you. It makes sense that you’d be feeling worn down by all of this. What do you notice most about how this has been affecting you?
I had a fight with someone and it made everything worse.,unknown,2.0,"The way you wrote about “I had a fight with someone and it made everything worse.” sounds like it’s taking a serious toll on you. If you check in with yourself, where might you land on a 0–10 distress scale, with 0 being no distress and 10 being unbearable? Do you notice that certain thoughts or situations reliably make things worse or slightly better?"
I've been wondering how much it would take to actually hurt myself.,unknown,3.0,"When life feels as hard as you’ve described around “I've been wondering how much it would take to actually hurt myself.”, thoughts of self-harm or not wanting to wake up can appear. You shouldn’t have to hide how intense this has been for you. Have you had any specific ideas or images about harming yourself or not being here anymore?"
I noticed myself counting pills without meaning to.,unknown,1.0,Sharing “I noticed myself counting pills without meaning to.” with me shows you’ve been struggling with some really difficult feelings. You shouldn’t have to pretend you’re okay when you’re feeling this way. Can you tell me more about how long this has been going on and what it’s been like over time?
I've been thinking about self-harm again but I don't want to say how.,unknown,2.0,"What you shared about “I've been thinking about self-harm again but I don't want to say...” gives the impression that you’ve been stretched really thin. On a scale from 0 to 10, how big does this emotional weight feel for you right now? What, if anything, seems to trigger the worst moments or bring the intensity down even a little?"
I'm worried I won't be able to control myself next time it hits.,unknown,3.0,The intense feelings you’re talking about with “I'm worried I won't be able to control myself next time it...” can be linked to suicidal thoughts for many people. You’re not overreacting for feeling this way—this sounds very hard. Do you catch yourself thinking about suicide or wishing you could escape everything by not being alive?
I keep thinking 'maybe tonight' but I haven't decided anything.,unknown,1.0,"When I read “I keep thinking 'maybe tonight' but I haven't decided anything.”, I hear someone who has been trying to manage a lot on their own. It sounds like you’ve been trying really hard to cope with everything that’s happening. What, if anything, has helped even a little when things start to feel this heavy?"
I've been rehearsing conversations about dying in my head.,unknown,2.0,"When I read “I've been rehearsing conversations about dying in my head.”, it sounds like you’ve been pushed past what feels manageable. If you had to rate the emotional pain you’re feeling at this moment from 0 to 10, what number feels closest? Are there any ongoing situations that you think are fueling this distress the most right now?"
I searched for 'how to stay safe' and found this.,unknown,3.0,Struggles like the ones you described around “I searched for 'how to stay safe' and found this.” can sometimes bring up thoughts of self-harm or not wanting to go on. It’s understandable that this would feel like more than you can easily manage alone. Are thoughts of self-harm or suicide part of what has been making things feel so overwhelming for you?
I'm scared because I've never thought like this before.,unknown,1.0,"When you say “I'm scared because I've never thought like this before.”, it sounds like you’ve been carrying a lot. I’m really glad you chose to say something instead of keeping it all inside. What feels most important for me to understand about what you’re going through right now?"
I've had thoughts like this before right before things got bad.,unknown,2.0,"The way you describe “I've had thoughts like this before right before things got bad.” makes it sound really draining and stressful. If you were to put a number on how intense your distress feels right now, from 0 (none) to 10 (as bad as it can get), what number would you choose? Are there particular situations, places, or people that tend to make things feel more intense or more manageable?"
I've been losing reasons to stay lately.,unknown,3.0,"For some people, feeling the way you described around “I've been losing reasons to stay lately.” can come with thoughts of self-harm or not wanting to be alive. I really appreciate you being open about this kind of pain. Are you experiencing any thoughts right now about hurting yourself, ending your life, or feeling like you don’t want to be here?"
I was on the edge of doing something a few days ago.,unknown,1.0,"Reading “I was on the edge of doing something a few days ago.”, I get the sense that life has felt really heavy for you. It takes a lot of courage to put this into words, and I want you to know it matters. Can you describe a recent moment that really captures how things have been for you?"
I'm thinking in a very black-and-white way today.,unknown,2.0,"From how you talk about “I'm thinking in a very black-and-white way today.”, it seems like your emotions have been very intense. On a 0–10 scale, where 0 is “totally okay” and 10 is “I can’t handle this,” where do you feel you are at this moment? Have you noticed any patterns—like times of day, interactions, or thoughts—that seem to make things spike or ease up?"
I keep checking where certain things are in my house.,unknown,3.0,"When someone is going through what you described with “I keep checking where certain things are in my house.”, it’s not unusual for thoughts of suicide or self-harm to show up. It takes a lot of bravery to let someone see this side of what you’re going through. Have you been having thoughts recently about self-harm, suicide, or wishing you wouldn’t wake up?"
I skipped taking my meds today because of how I was feeling.,unknown,1.0,"Your words “I skipped taking my meds today because of how I was feeling.” tell me you’ve had a lot on your mind lately. You deserve space to talk about this, and I’m here to listen. What has been the hardest part of this for you lately?"
I messaged a friend something concerning and now I'm here.,unknown,2.0,"Reading “I messaged a friend something concerning and now I'm here.”, I can hear how worn out and overwhelmed you’ve been feeling. Thinking about right now, how strong does your emotional pain feel on a scale from 0 (not at all) to 10 (overwhelming)? What kinds of moments seem to push your distress higher, and are there any that give you even a small sense of relief?"
I don't want my family to know how bad it is.,unknown,3.0,"The kind of pain you’re describing in “I don't want my family to know how bad it is.” sometimes comes with thoughts of wanting to escape or not be here anymore. I’m glad you’re talking about this instead of trying to face it in silence. Right now, are you noticing any urges or thoughts about harming yourself or ending your life?"
I've been making sure I'm alone more often.,unknown,1.0,Hearing you describe “I've been making sure I'm alone more often.” makes it clear you’ve been going through a tough stretch. It’s understandable that this would feel like a lot to hold by yourself. How have these feelings been showing up in your day-to-day life?
I've been reading about 'imminent risk' and wondering if that's me.,unknown,2.0,"Your description of “I've been reading about 'imminent risk' and wondering if that's me.” suggests that things haven’t just been a little hard, but really heavy. If 0 meant calm and 10 meant completely overwhelmed, what number would best match how you feel now? Are there certain events or reminders that you’ve noticed make your emotions stronger or softer?"
I went to the place where I usually go when I'm thinking about this.,unknown,3.0,"People who describe experiences like “I went to the place where I usually go when I'm thinking...” often find that thoughts of self-harm or suicide creep in. You deserve support around these feelings, and I’m here to listen. Have any thoughts about wanting to die, disappear, or hurt yourself been on your mind lately?"
I started writing goodbye-type messages but didn't send them.,unknown,1.0,What you wrote — “I started writing goodbye-type messages but didn't send them.” — suggests you’re dealing with more than people might see from the outside. I’m glad you reached out to talk about this rather than sitting with it alone. What have your days been looking like recently when things feel this way?
I've been thinking about who would find me.,unknown,2.0,"Hearing you talk about “I've been thinking about who would find me.” makes it clear that you’ve been under a lot of emotional pressure. How intense would you say your distress is right now, using a 0–10 scale where 10 is the worst you can imagine? Have you seen any connection between your stress and things like sleep, social interactions, or what’s happening around you?"
I've been staring at one object for a long time today.,unknown,3.0,Being in the kind of distress you mentioned with “I've been staring at one object for a long time today.” can sometimes lead to thoughts of ending one’s life. It makes sense that this would feel like a lot to carry on your own. Are there moments when you find yourself thinking that you’d be better off dead or that you want to end your life?
I can't stop thinking about ending the pain.,unknown,1.0,The way you talk about “I can't stop thinking about ending the pain.” makes it sound like things have been piling up for you. It makes sense that you’d be feeling worn down by all of this. What do you notice most about how this has been affecting you?
"I told myself if it got worse I'd reach out, so I'm reaching out.",unknown,2.0,"The way you wrote about “I told myself if it got worse I'd reach out, so I'm...” sounds like it’s taking a serious toll on you. If you check in with yourself, where might you land on a 0–10 distress scale, with 0 being no distress and 10 being unbearable? Do you notice that certain thoughts or situations reliably make things worse or slightly better?"
I've been looking up if certain methods are reversible.,unknown,3.0,"When life feels as hard as you’ve described around “I've been looking up if certain methods are reversible.”, thoughts of self-harm or not wanting to wake up can appear. You shouldn’t have to hide how intense this has been for you. Have you had any specific ideas or images about harming yourself or not being here anymore?"
I feel like I'm crossing a line today.,unknown,1.0,Sharing “I feel like I'm crossing a line today.” with me shows you’ve been struggling with some really difficult feelings. You shouldn’t have to pretend you’re okay when you’re feeling this way. Can you tell me more about how long this has been going on and what it’s been like over time?
I've been planning other parts of my life around not being here.,unknown,2.0,"What you shared about “I've been planning other parts of my life around not being here.” gives the impression that you’ve been stretched really thin. On a scale from 0 to 10, how big does this emotional weight feel for you right now? What, if anything, seems to trigger the worst moments or bring the intensity down even a little?"
I thought about calling emergency services but I didn't want to overreact.,unknown,3.0,The intense feelings you’re talking about with “I thought about calling emergency services but I didn't want to overreact.” can be linked to suicidal thoughts for many people. You’re not overreacting for feeling this way—this sounds very hard. Do you catch yourself thinking about suicide or wishing you could escape everything by not being alive?
I keep thinking about what happened to me last year when I tried.,unknown,1.0,"When I read “I keep thinking about what happened to me last year when I...”, I hear someone who has been trying to manage a lot on their own. It sounds like you’ve been trying really hard to cope with everything that’s happening. What, if anything, has helped even a little when things start to feel this heavy?"
I've been wondering how fast help would arrive where I live.,unknown,2.0,"When I read “I've been wondering how fast help would arrive where I live.”, it sounds like you’ve been pushed past what feels manageable. If you had to rate the emotional pain you’re feeling at this moment from 0 to 10, what number feels closest? Are there any ongoing situations that you think are fueling this distress the most right now?"
I started organizing my room in a weird way today.,unknown,3.0,Struggles like the ones you described around “I started organizing my room in a weird way today.” can sometimes bring up thoughts of self-harm or not wanting to go on. It’s understandable that this would feel like more than you can easily manage alone. Are thoughts of self-harm or suicide part of what has been making things feel so overwhelming for you?
I've been thinking about how to make it look like an accident.,unknown,1.0,"When you say “I've been thinking about how to make it look like an accident.”, it sounds like you’ve been carrying a lot. I’m really glad you chose to say something instead of keeping it all inside. What feels most important for me to understand about what you’re going through right now?"
I was looking at crisis policies and wondered what I'd qualify for.,unknown,2.0,"The way you describe “I was looking at crisis policies and wondered what I'd qualify for.” makes it sound really draining and stressful. If you were to put a number on how intense your distress feels right now, from 0 (none) to 10 (as bad as it can get), what number would you choose? Are there particular situations, places, or people that tend to make things feel more intense or more manageable?"
I've been comparing different ways people talk about suicide online.,unknown,3.0,"For some people, feeling the way you described around “I've been comparing different ways people talk about suicide online.” can come with thoughts of self-harm or not wanting to be alive. I really appreciate you being open about this kind of pain. Are you experiencing any thoughts right now about hurting yourself, ending your life, or feeling like you don’t want to be here?"
I keep hearing 'just do it' in my head but I don't want to.,unknown,1.0,"Reading “I keep hearing 'just do it' in my head but I don't...”, I get the sense that life has felt really heavy for you. It takes a lot of courage to put this into words, and I want you to know it matters. Can you describe a recent moment that really captures how things have been for you?"
